gene,dbeta,feature,ID,cluster
KHDRBS3,0.409018,TSS200,cg27186774,1
KIAA0754,0.356586,TSS200,cg07959576,2
KIAA1804,0.320403,TSS1500,cg04126810,3
KIF1B,0.323219,TSS200,cg22822919,3
KIF20B,0.401159,TSS1500,cg27308707,3
LAG3,0.342635,TSS200,cg10500147,2
LANCL2,0.332305,TSS1500,cg11850943,3
LHX1,0.345037,TSS1500,cg12279877,1
LIMS2,0.402024,TSS1500,cg08385249,2
LOXHD1,0.346128,TSS200,cg22138002,2
LTA,-0.356316,TSS200,cg14597739,2
MAGI2,0.355178,TSS1500,cg08641579,2
MANEAL,0.354286,TSS1500,cg06214983,3
MAP2K7,0.340431,TSS1500,cg27497751,3
MAPK8IP1,0.321493,TSS200,cg15719126,2
MBOAT7,0.335143,TSS1500,cg14070281,3
MBTPS1,0.374073,TSS1500,cg27435126,3
MCM10,-0.322982,TSS1500,cg20595580,1
MCOLN2,0.349904,TSS200,cg11262906,2
MDH1,-0.376998,TSS200,cg10164987,3
MED9,-0.318216,TSS1500,cg11903177,1
MESDC1,0.328657,TSS200,cg13818726,2
METTL11B,0.405619,TSS1500,cg09168501,3
MIR149,0.363064,TSS200,cg17367832,1
MIR488,0.3281,TSS1500,cg09024791,1
MIR543,0.31074,TSS1500,cg18875631,1
MIR922,0.356425,TSS1500,cg12023911,1
MME,0.343705,TSS200,cg22955973,2
MMP11,0.328745,TSS200,cg02836840,3
MNX1,0.343412,TSS200,cg23472708,1
MORC1,0.382368,TSS200,cg09436190,1
MRPS33,0.316335,TSS200,cg26792755,3
MSL2,0.381438,TSS1500,cg05587853,1
MTHFD2L,0.311262,TSS200,cg03809994,3
MTHFSD,0.31226,TSS200,cg08086906,3
MTR,0.391253,TSS1500,cg13968398,3
MX1,0.419169,TSS1500,cg03215005,3
MXD3,0.365887,TSS200,cg16616449,1
MYADM,0.435507,TSS1500,cg17382541,2
MYBBP1A,0.356264,TSS200,cg01808912,1
MYEOV2,0.348275,TSS1500,cg25823214,3
MYL9,0.340513,TSS1500,cg06420834,3
NAPG,0.31619,TSS200,cg12667888,3
NCOA3,0.431535,TSS200,cg18295930,3
NDUFA13,0.313575,TSS200,cg01300405,3
NEAT1,0.420503,TSS1500,cg14148106,1
NEGR1,0.354231,TSS1500,cg04985396,2
NEU2,0.356845,TSS200,cg01442781,3
NEURL,0.414236,TSS200,cg03337393,2
NKD2,-0.342456,TSS1500,cg22178761,2
NKX2-2,0.339885,TSS200,cg06178563,1
NKX6-1,0.358422,TSS200,cg15897645,1
NLRP3,0.384243,TSS1500,cg03466998,3
NRG3,0.488513,TSS1500,cg10401879,2
NTSR2,0.325173,TSS200,cg17186168,2
NUDT17,0.394464,TSS1500,cg15521792,3
OAZ1,0.369354,TSS200,cg18838581,3
OBSL1,0.331673,TSS1500,cg23977011,3
OPRK1,0.362094,TSS200,cg25614094,2
OR2L8,0.340644,TSS200,cg15087740,2
OS9,0.382755,TSS1500,cg27036185,3
PCDH20,0.391283,TSS200,cg12721730,2
PCM1,-0.325393,TSS200,cg20533955,3
PCSK2,0.35374,TSS1500,cg06441668,3
PDCD10,0.319035,TSS1500,cg18128147,2
PDK4,0.407667,TSS1500,cg06070414,3
PER3,0.353587,TSS1500,cg17465881,3
PET117,0.354718,TSS200,cg24225196,3
PEX26,-0.315913,TSS200,cg20545551,3
PGAM1,0.366443,TSS200,cg05835744,3
PIGP,0.362987,TSS200,cg24693520,3
PIK3C3,0.347419,TSS200,cg12548782,3
PKLR,0.367453,TSS1500,cg00764632,3
PLA2G2E,0.319637,TSS200,cg01441698,3
PLA2G7,0.340599,TSS200,cg08383338,3
POLR2H,-0.335222,TSS200,cg16625000,1
POU2F3,0.369343,TSS1500,cg20663364,1
POU3F1,0.313696,TSS200,cg03753481,1
POU3F2,0.345,TSS1500,cg24942226,1
PPIA,0.491135,TSS200,cg23495556,3
PRCC,0.398563,TSS1500,cg13235992,1
PRKAB2,0.323822,TSS1500,cg05162137,3
PRKCDBP,0.385478,TSS200,cg05628549,2
PRMT10,0.343499,TSS200,cg00360468,3
PSMA5,0.399358,TSS200,cg17451471,3
PSMD12,0.363049,TSS200,cg18147309,3
PTAFR,0.44277,TSS1500,cg04724866,2
PTCHD2,0.380275,TSS200,cg15658487,3
PTPRG,0.427664,TSS200,cg09472360,2
PTPRN,0.326904,TSS200,cg01382864,2
PUF60,0.323109,TSS1500,cg09859794,1
PUSL1,0.325607,TSS1500,cg00262415,1
RAB11FIP1,0.361705,TSS200,cg05472579,3
RAB43,0.400326,TSS1500,cg05985447,3
RANBP3,0.313912,TSS200,cg00136192,3
RBM23,0.432562,TSS1500,cg07971674,1
RBM42,0.311856,TSS200,cg15636057,1
RCE1,0.43569,TSS200,cg25954729,3
RCOR2,0.395443,TSS1500,cg27470027,1
RET,0.343235,TSS200,cg08275306,2
RHBDL1,0.379263,TSS1500,cg07847424,3
RING1,0.373891,TSS1500,cg11011640,1
RIPPLY2,0.39457,TSS200,cg16528511,1
RNF186,0.353182,TSS200,cg05393025,3
RNH1,0.42788,TSS200,cg24778081,2
RPL10L,0.33214,TSS200,cg23370328,3
SCYL2,0.331097,TSS200,cg04924415,3
SEC24B,0.311724,TSS200,cg22818604,3
SELI,0.318631,TSS200,cg09392819,3
SENP2,0.315918,TSS1500,cg07121640,3
SEPHS1,0.40841,TSS1500,cg23097415,3
SETD1B,0.357266,TSS200,cg10605791,3
SETD2,0.337317,TSS200,cg05971911,3
SFRP1,0.344424,TSS200,cg01495122,3
SFRS4,0.313776,TSS200,cg05032943,1
SFXN1,0.328316,TSS200,cg07590632,3
SIM2,0.351684,TSS1500,cg26938272,1
SLC10A4,0.364592,TSS200,cg05021846,2
SLC12A7,0.399652,TSS200,cg06748231,2
SLC30A3,0.345806,TSS200,cg23151303,2
SLC39A7,0.385847,TSS1500,cg06276429,3
SLFN11,0.342219,TSS200,cg26573518,1
SLTM,0.37351,TSS200,cg10579128,1
SMG6,0.344111,TSS1500,cg27025247,3
SRD5A2,0.4031,TSS1500,cg11765362,2
SRP68,0.315602,TSS1500,cg04151306,3
ST3GAL3,0.328138,TSS1500,cg08142848,3
STIM1,-0.326417,TSS200,cg24035379,2
STK10,0.406355,TSS200,cg19108432,3
STK39,0.33629,TSS1500,cg19282745,3
SUPT4H1,0.430729,TSS1500,cg09033857,1
TACR1,0.342118,TSS200,cg23210365,2
TBCCD1,0.417293,TSS200,cg14506751,2
TBRG4,0.364315,TSS200,cg03142634,1
TBXAS1,0.332685,TSS200,cg03047724,3
TCEA1,0.448324,TSS200,cg11530293,1
TCEA2,0.328767,TSS200,cg12176783,1
TCF7,0.321738,TSS1500,cg24093411,1
TCTN3,0.314979,TSS200,cg19340278,1
THBS1,0.437559,TSS200,cg09291834,3
THOC7,0.335469,TSS1500,cg22209752,1
TMBIM6,0.321407,TSS200,cg20339296,2
TMEM108,0.314938,TSS200,cg18115215,3
TMEM134,0.39086,TSS200,cg13428943,3
TMEM159,0.350167,TSS200,cg00285026,3
TMEM214,0.362763,TSS200,cg20313392,3
TMEM97,0.329385,TSS1500,cg19026207,3
TNKS2,0.347165,TSS200,cg13781829,3
TP53AIP1,0.402593,TSS200,cg22837015,3
TPPP3,0.324592,TSS200,cg08074621,3
TRAPPC6B,0.379069,TSS200,cg22843395,3
TRIB2,0.310907,TSS200,cg14229362,3
TRMT1,0.336858,TSS200,cg05225062,1
TRNP1,0.316463,TSS1500,cg12396969,1
TRPM5,-0.373641,TSS1500,cg26103489,2
TSPAN11,0.324719,TSS1500,cg10367097,3
TSTD1,0.321754,TSS1500,cg07967677,3
UBE2M,0.323804,TSS200,cg20631335,3
UEVLD,0.445659,TSS200,cg26410557,3
UNC84A,0.364578,TSS1500,cg17150306,3
VAC14,0.38408,TSS200,cg06982530,3
VDAC1,0.440791,TSS1500,cg22691725,3
VEZT,0.548757,TSS1500,cg02154874,2
VPS52,0.348422,TSS1500,cg22783602,3
VTA1,0.330519,TSS200,cg13401290,3
WDR12,0.353481,TSS200,cg06721775,1
WDR55,-0.335496,TSS200,cg26395211,3
WDR62,0.338527,TSS200,cg26262375,3
WDR81,0.3111,TSS200,cg07671620,3
ZBTB25,0.409466,TSS1500,cg13510114,1
ZBTB34,0.40469,TSS200,cg10610323,1
ZFAND3,0.333692,TSS200,cg01009358,3
ZMYM2,0.381929,TSS200,cg15593366,1
ZNF131,0.389198,TSS1500,cg22042060,1
ZNF273,0.314191,TSS1500,cg15890852,1
ZNF799,0.411895,TSS200,cg27037109,1
ZNF836,0.357159,TSS1500,cg08672999,1
ZNRD1,0.315813,TSS1500,cg05567763,1
