gene,dbeta,feature,ID,cluster
OR52L1,-0.369049,TSS200,cg27480913,1
OR56A3,-0.376661,TSS1500,cg25451456,1
OR5P3,-0.408824,TSS1500,cg16226642,1
OR6K2,-0.385521,TSS200,cg02245566,1
OR6N1,-0.393303,TSS1500,cg14514991,1
OR8B12,-0.395,TSS1500,cg24360034,1
OR8B2,-0.353127,TSS1500,cg13012115,1
OVCH2,-0.379677,TSS1500,cg13563074,4
PACSIN3,0.40933,TSS1500,cg08300419,1
PAH,0.438533,TSS200,cg24167314,3
PAQR9,0.429142,TSS1500,cg00970325,1
PAX3,0.375799,TSS1500,cg18077971,2
PDE4B,0.420918,TSS200,cg22488256,3
PDGFRA,0.35475,TSS1500,cg00691999,1
PDGFRB,0.393211,TSS1500,cg12727795,1
PDLIM4,0.359762,TSS1500,cg04518342,3
PDPN,0.380816,TSS1500,cg18877506,1
PDZD7,0.416358,TSS1500,cg26582768,2
PER1,0.350802,TSS1500,cg10708955,2
PFDN4,-0.357471,TSS1500,cg22154859,3
PFKP,0.48987,TSS1500,cg07198194,2
PGLYRP3,-0.372898,TSS1500,cg03222483,4
PHOX2A,0.448806,TSS1500,cg24530250,2
PLBD1,0.351363,TSS1500,cg19725903,4
PLEKHA6,0.381748,TSS200,cg04705659,4
PLTP,0.356978,TSS1500,cg24182521,4
PODN,0.509682,TSS1500,cg04765848,4
PON3,0.440329,TSS200,cg23230584,4
POU3F3,0.401451,TSS1500,cg19513834,2
PPT2,0.50871,TSS200,cg14130039,4
PROM1,0.454607,TSS200,cg04203238,1
PTPRN,0.38114,TSS200,cg03970036,1
PYCARD,0.408359,TSS200,cg12100791,3
RAB17,-0.44186,TSS1500,cg06353069,1
RAPGEFL1,0.417783,TSS200,cg25813864,1
RARRES1,0.358511,TSS1500,cg18349298,4
RARRES2,0.437592,TSS200,cg27494647,4
RASSF5,0.355264,TSS1500,cg16032102,2
RBP1,0.385407,TSS1500,cg15229124,2
RFX7,0.450286,TSS1500,cg08857201,2
RGS10,-0.367618,TSS1500,cg10292430,1
RHCG,0.441957,TSS200,cg01837657,1
RNF152,0.448679,TSS200,cg07980518,4
RUSC1,0.369926,TSS200,cg19516515,3
S100A6,0.352162,TSS1500,cg10959711,1
SEMA5A,0.432076,TSS1500,cg03702236,4
SFRP5,0.45551,TSS200,cg07834955,4
SFXN5,0.375799,TSS200,cg23396786,4
SGIP1,0.425273,TSS1500,cg00920348,1
SIM1,0.384852,TSS1500,cg27252696,2
SIX2,0.48658,TSS1500,cg02711647,2
SLC13A3,0.432252,TSS200,cg06263461,4
SLC17A8,0.458962,TSS200,cg06563300,1
SLC18A2,0.386859,TSS200,cg15173134,1
SLC25A39,0.517814,TSS1500,cg09691340,4
SLC2A2,0.490012,TSS1500,cg24302235,3
SLC35D3,0.365633,TSS1500,cg26870192,4
SLC4A11,0.400055,TSS1500,cg10748765,1
SLC5A7,0.395773,TSS200,cg26001902,1
SLC6A3,0.4716,TSS1500,cg16703956,1
SLCO4C1,0.467629,TSS200,cg19788741,1
SLFN11,0.456485,TSS1500,cg18108623,2
SLITRK3,0.364408,TSS1500,cg25831075,1
SNORA10,-0.370075,TSS1500,cg00175153,2
SNORD123,0.434237,TSS1500,cg18334392,2
SOBP,0.358434,TSS1500,cg09581551,2
SORCS1,0.391383,TSS1500,cg11097433,1
SOSTDC1,0.519306,TSS200,cg06363129,4
SOX1,0.387118,TSS1500,cg24604013,2
SPATS1,0.370816,TSS200,cg18959554,4
SPRR2G,-0.362222,TSS200,cg11267802,3
SPRR3,-0.35189,TSS1500,cg04138756,3
SPRR4,-0.3816,TSS1500,cg08948808,3
SPRY4,0.445521,TSS1500,cg14619259,3
SSTR4,0.433047,TSS200,cg07676859,1
ST6GALNAC6,-0.386212,TSS1500,cg14202783,3
STEAP2,-0.357807,TSS1500,cg26904169,1
SYT6,0.350923,TSS1500,cg19901801,1
TAC1,0.507833,TSS200,cg17437939,4
TBX20,0.459902,TSS200,cg17985646,2
TCEA2,0.406198,TSS200,cg12176783,2
TET2,0.355344,TSS1500,cg08924430,2
THBS4,0.384029,TSS200,cg00795341,4
TIAM1,0.35423,TSS1500,cg15853125,3
TIMP2,0.439799,TSS1500,cg05306745,4
TM9SF4,-0.375539,TSS1500,cg20672708,4
TMEM106A,0.529882,TSS200,cg19548479,1
TMEM176B,0.360738,TSS1500,cg05017199,2
TP53AIP1,0.354201,TSS200,cg09682051,4
TSPAN5,0.407341,TSS1500,cg08979352,1
TTBK1,0.390657,TSS200,cg27363327,2
TUBA4B,0.473154,TSS200,cg08640923,3
TXNRD1,0.432243,TSS200,cg17395064,3
UBE4B,-0.353514,TSS1500,cg09355820,2
UBXN10,0.362595,TSS200,cg24685601,2
UFSP1,0.427263,TSS1500,cg15575433,3
UTP23,-0.353635,TSS1500,cg09305680,2
VANGL2,0.363685,TSS1500,cg10400707,1
VIPR2,0.36299,TSS1500,cg08614290,1
VSNL1,0.370377,TSS1500,cg11509669,3
VWC2,0.476374,TSS200,cg01893212,4
VWCE,0.383934,TSS200,cg06282270,4
WDR69,0.371136,TSS200,cg00063174,3
WFDC5,0.358315,TSS200,cg11626007,4
WIPF1,0.390887,TSS1500,cg13999188,3
WNT16,0.36442,TSS200,cg05470554,4
ZBTB8B,0.354456,TSS1500,cg06846752,2
ZFP42,0.422891,TSS200,cg06274159,2
ZNF48,0.39021,TSS1500,cg16014085,2
ZNF577,0.565768,TSS200,cg16731240,2
ZNF648,-0.352297,TSS1500,cg13498800,2
ZNF655,0.387397,TSS1500,cg05165378,2
ZP4,-0.383889,TSS1500,cg26810908,4
